FIPS,Gyms
20197,2
20209,6
21003,0
21009,6
21013,2
21015,13
21019,1
21021,6
21027,0
21029,9
21035,12
21037,4
21043,2
21045,1
21047,6
21049,1
21053,1
21059,2
21067,39
21069,2
21073,9
21081,1
21083,7
21085,2
21089,1
21093,9
21095,2
21097,5
21101,4
21107,1
21111,74
21113,11
21115,0
21117,22
21121,2
21123,1
21125,1
21137,3
21145,3
21147,0
21151,7
21157,33
21159,3
21161,1
21163,6
21167,2
21173,1
21175,1
21179,6
21183,1
21185,5
21191,0
21195,2
21197,7
21199,0
21205,4
21207,1
21209,3
21211,1
21213,3
21217,5
21221,1
21225,3
21227,1
21229,0
21231,11
21233,1
21235,11
21237,4
22001,4
22003,9
22005,10
22007,2
22009,0
22011,5
22015,0
22017,27
22019,11
22021,2
22029,2
22031,3
22033,68
22037,2
22041,1
22045,4
22047,0
22049,6
22051,51
22053,6
22055,19
22057,6
22059,1
22063,5
22067,1
22069,2
22071,17
22073,12
22075,1
22077,2
22079,11
22083,2
22087,3
22089,6
22093,1
22095,1
22097,7
22099,5
22101,3
22103,23
22105,1
22109,8
22111,4
22113,1
22115,1
22117,2
22121,2
22123,3
22915,12
23001,0
23003,1
23005,20
23009,0
23011,0
23013,1
23015,2
23017,0
23019,0
23021,2
23023,1
23025,5
23027,2
23029,3
23031,12
24001,2
24003,33
24005,27
24009,0
24011,1
24013,14
24015,0
24017,0
24019,0
24021,11
24023,0
24025,0
24027,0
24029,1
24031,79
24033,0
24035,4
24037,3
24039,1
24041,3
24043,2
24045,0
24047,0
24510,0
25001,0
25003,0
25005,32
25007,0
25009,57
25011,0
25013,11
25015,0
25017,123
25019,5
25021,59
25023,40
25025,44
25027,0
26005,4
26007,1
26009,7
26011,1
26015,0
26017,2
26019,3
26021,1
26023,4
26025,6
26027,0
26029,5
26033,1
26035,2
26037,3
26039,0
26041,2
26043,1
26045,11
26047,2
26049,14
26051,1
26053,2
26055,1
26059,0
26061,0
26063,0
26065,6
26067,2
26069,1
26071,1
26073,2
26075,4
26077,9
26081,28
26085,5
26087,5
26089,2
26091,1
26093,2
26099,34
26103,9
26105,5
26107,5
26109,5
26111,6
26113,5
26115,11
26117,1
26121,6
26123,5
26125,50
26127,1
26129,1
26135,21
26137,3
26139,27
26141,7
26143,3
26145,3
26147,16
26149,3
26151,1
26155,7
26157,3
26159,9
26161,28
26163,100
26165,7
27003,14
27005,1
27007,2
27009,4
27013,7
27015,4
27017,1
27019,7
27023,2
27025,3
27027,3
27029,2
27033,3
27035,11
27037,38
27039,14
27041,4
27043,6
27047,1
27049,5
27053,93
27055,3
27057,5
27059,5
27061,2
27063,9
27065,10
27067,3
27071,2
27077,1
27079,5
27083,12
27085,12
27091,9
27093,3
27095,3
27097,3
27099,4
27103,1
27105,1
27109,14
27111,6
27115,6
27117,0
27119,3
27121,2
27123,36
27127,2
27131,5
27133,2
27135,7
27137,18
27139,14
27141,17
27143,3
27145,15
27147,6
27149,1
27153,9
27157,2
27159,1
27161,2
27163,31
27165,4
27169,7
27171,8
28001,2
28003,3
28007,5
28011,7
28021,8
28027,3
28029,1
28033,15
28035,10
28039,8
28041,2
28043,4
28045,2
28047,13
28049,21
28057,2
28059,14
28067,3
28071,12
28073,1
28075,2
28077,0
28079,1
28081,5
28083,2
28085,3
28087,2
28089,24
28091,2
28095,4
28099,1
28101,5
28103,4
28105,3
28107,0
28109,4
28113,4
28115,8
28117,1
28121,13
28123,7
28127,0
28131,1
28133,3
28137,1
28145,1
28147,1
28149,0
28151,3
28157,5
28159,1
29001,1
29005,4
29007,6
29009,12
29013,1
29015,1
29019,30
29021,8
29023,4
29027,3
29029,5
29031,3
29033,1
29037,4
29043,7
29047,33
29049,5
29051,8
29053,3
29055,0
29059,1
29065,7
29069,10
29071,8
29075,4
29077,28
29081,7
29083,6
29085,1
29087,2
29091,7
29093,2
29095,47
29097,9
29099,16
29101,2
29103,5
29105,6
29107,9
29109,3
29111,2
29113,11
29115,1
29121,3
29123,1
29127,5
29129,5
29131,6
29133,1
29135,7
29137,2
29139,3
29141,8
29145,1
29147,3
29159,5
29161,5
29163,1
29165,14
29169,3
29175,4
29177,5
29183,31
29187,4
29189,89
29195,4
29199,1
29201,3
29205,5
29207,1
29209,4
29213,4
29215,2
29217,2
29219,1
29221,3
29225,4
29229,2
29510,29
30001,3
30009,2
30013,12
30015,1
30017,1
30021,2
30023,1
30027,3
30029,15
30031,11
30041,3
30047,5
30049,9
30051,2
30053,2
30057,2
30063,16
30067,2
30077,1
30081,5
30083,2
30089,2
30093,6
30095,0
30097,4
30099,0
30111,17
31001,2
31013,0
31017,27
31019,8
31021,1
31023,1
31025,1
31027,6
31031,4
31037,0
31043,6
31047,6
31053,1
31055,83
31061,2
31067,3
31079,7
31081,1
31109,41
31111,8
31119,4
31121,1
31127,1
31129,2
31131,3
31135,1
31137,1
31141,5
31145,2
31151,1
31153,21
31157,6
31159,2
31175,0
31177,1
32001,5
32003,84
32005,6
32007,4
32009,1
32013,3
32019,4
32031,38
32510,7
33001,0
33003,0
33005,0
33007,0
33009,0
33011,0
33013,0
33015,0
33017,0
33019,0
34001,0
34003,0
34005,0
34007,0
34009,0
34011,0
34013,0
34015,0
34017,0
34019,0
34021,0
34023,0
34025,0
34027,0
34029,0
34031,0
34033,0
34035,0
34037,0
34039,0
34041,0
35001,59
35003,1
35005,6
35009,6
35013,6
35015,4
35025,1
35027,5
35028,8
35029,2
35031,3
35035,2
35039,1
35041,1
35043,7
35045,6
35049,16
35055,4
35061,0
36001,9
36003,7
36005,0
36007,0
36009,0
36011,0
36013,12
36015,0
36017,0
36019,0
36021,0
36023,0
36027,0
36029,43
36031,7
36033,18
36035,0
36037,0
36039,0
36043,11
36045,12
36047,61
36049,0
36051,36
36053,0
36055,0
36057,0
36059,0
36061,0
36063,6
36065,4
36067,0
36069,0
36071,4
36073,0
36075,0
36077,6
36079,16
36081,36
36083,0
36085,0
36087,0
36089,0
36091,0
36093,0
36095,0
36101,1
36103,61
36105,0
36107,1
36109,0
36111,6
36113,5
36115,0
36117,0
36119,54
36121,0
36123,2
37001,12
37003,4
37005,1
37009,1
37011,1
37013,4
37015,1
37017,1
37019,7
37021,35
37023,4
37025,12
37027,3
37031,6
37035,10
37037,5
37045,0
37049,11
37051,8
37053,2
37055,2
37057,13
37059,3
37061,5
37063,37
37065,2
37067,50
37069,2
37071,11
37077,3
37079,1
37081,45
37083,1
37085,6
37087,1
37089,9
37091,2
37093,1
37097,1
37099,4
37101,15
37105,7
37107,3
37109,5
37111,2
37113,2
37115,1
37119,87
37121,1
37123,2
37125,1
37127,5
37129,16
37131,0
37133,34
37135,11
37137,1
37139,2
37141,6
37145,5
37147,6
37149,2
37151,3
37153,3
37155,9
37157,8
37159,8
37161,4
37163,2
37165,2
37167,10
37169,9
37171,7
37173,1
37175,3
37179,38
37181,3
37183,88
37185,4
37189,8
37191,9
37193,4
37195,7
37197,7
37199,6
38003,2
38015,9
38017,14
38021,1
38023,16
38029,0
38031,5
38035,5
38039,1
38043,1
38057,10
38059,4
38061,2
38065,1
38069,1
38071,2
38089,9
38093,4
38099,3
38101,7
38105,9
39001,0
39003,10
39005,9
