FIPS,State,County,Obesity_Percent
2105,Alaska,Hoonah-Angoon 2009 Census,31.8
2110,Alaska,Juneau City and Borough,28.6
2122,Alaska,Kenai Peninsula Borough,28.4
2130,Alaska,Ketchikan Gateway Borough,30.8
2150,Alaska,Kodiak Island Borough,30.2
2164,Alaska,Lake and Peninsula Borough,31.9
2170,Alaska,Matanuska-Susitna Borough,30.2
2180,Alaska,Nome Census Area,31.7
2185,Alaska,North Slope Borough,36.5
2188,Alaska,Northwest Arctic Borough,32.4
2195,Alaska,Petersburg 2009 Census,30.5
2198,Alaska,Prince of Wales-Hyder 2009 Census,35.2
2201,Alaska,Prince of Wales-Outer K 2004 to 2008 Census,
2220,Alaska,Sitka City and Borough,28.7
2230,Alaska,Skagway Municipality 2009 Census,28.1
2232,Alaska,Hoonah-Angoon 2004 to 2008 Census,
2240,Alaska,Southeast Fairbanks Census,33.1
2261,Alaska,Valdez-Cordova Census Area,30.4
2270,Alaska,Wade Hampton Census Area,32.6
2275,Alaska,Wrangell City and Borough 2009 Census,30.6
2280,Alaska,Wrangell-Petersburg 2004 to 2008 Census,
2282,Alaska,Yakutat City and Borough,31.3
2290,Alaska,Yukon-Koyukuk Census Area,28.3
4001,Arizona,Apache County,35.2
4003,Arizona,Cochise County,26
4005,Arizona,Coconino County,23.2
4007,Arizona,Gila County,27.5
4009,Arizona,Graham County,32.5
4011,Arizona,Greenlee County,34.7
4012,Arizona,La Paz County,32
4013,Arizona,Maricopa County,25.4
4015,Arizona,Mohave County,29.6
4017,Arizona,Navajo County,30.9
4019,Arizona,Pima County,24.2
4021,Arizona,Pinal County,31.6
4023,Arizona,Santa Cruz County,23
4025,Arizona,Yavapai County,25.3
4027,Arizona,Yuma County,30.5
5001,Arkansas,Arkansas County,33.8
5003,Arkansas,Ashley County,42.1
5005,Arkansas,Baxter County,32.3
5007,Arkansas,Benton County,30.1
5009,Arkansas,Boone County,33.9
5011,Arkansas,Bradley County,39
5013,Arkansas,Calhoun County,34.2
5015,Arkansas,Carroll County,35.8
5017,Arkansas,Chicot County,43.1
5019,Arkansas,Clark County,34.3
5021,Arkansas,Clay County,33.7
5023,Arkansas,Cleburne County,31.8
5025,Arkansas,Cleveland County,35.7
5027,Arkansas,Columbia County,36.4
5029,Arkansas,Conway County,39.7
5031,Arkansas,Craighead County,36.4
5033,Arkansas,Crawford County,35.1
5035,Arkansas,Crittenden County,38.8
5037,Arkansas,Cross County,37.9
5039,Arkansas,Dallas County,36.2
5041,Arkansas,Desha County,39.6
5043,Arkansas,Drew County,34.3
5045,Arkansas,Faulkner County,33.2
5047,Arkansas,Franklin County,37.1
5049,Arkansas,Fulton County,32.9
5051,Arkansas,Garland County,32.3
5053,Arkansas,Grant County,38.3
5055,Arkansas,Greene County,31.2
5057,Arkansas,Hempstead County,40.3
5059,Arkansas,Hot Spring County,34.7
5061,Arkansas,Howard County,35.7
5063,Arkansas,Independence County,37.2
5065,Arkansas,Izard County,33.9
5067,Arkansas,Jackson County,37.2
5069,Arkansas,Jefferson County,40.7
5071,Arkansas,Johnson County,36.4
5073,Arkansas,Lafayette County,36.3
5075,Arkansas,Lawrence County,31.8
5077,Arkansas,Lee County,35.7
5079,Arkansas,Lincoln County,37.5
5081,Arkansas,Little River County,32.7
5083,Arkansas,Logan County,37.5
5085,Arkansas,Lonoke County,35.8
5087,Arkansas,Madison County,34
5089,Arkansas,Marion County,31.7
5091,Arkansas,Miller County,35.9
5093,Arkansas,Mississippi County,39.8
5095,Arkansas,Monroe County,37.5
5097,Arkansas,Montgomery County,33.8
5099,Arkansas,Nevada County,36
5101,Arkansas,Newton County,34.2
5103,Arkansas,Ouachita County,34.8
5105,Arkansas,Perry County,37.5
5107,Arkansas,Phillips County,45.5
5109,Arkansas,Pike County,37.8
5111,Arkansas,Poinsett County,38.4
5113,Arkansas,Polk County,36.7
5115,Arkansas,Pope County,32.1
5117,Arkansas,Prairie County,36.3
5119,Arkansas,Pulaski County,31.7
5121,Arkansas,Randolph County,35.3
5123,Arkansas,St. Francis County,42.5
5125,Arkansas,Saline County,32.5
5127,Arkansas,Scott County,32.5
5129,Arkansas,Searcy County,35
5131,Arkansas,Sebastian County,36.9
5133,Arkansas,Sevier County,36.7
5135,Arkansas,Sharp County,37.3
5137,Arkansas,Stone County,32.6
5139,Arkansas,Union County,39.4
5141,Arkansas,Van Buren County,35.6
5143,Arkansas,Washington County,30.6
5145,Arkansas,White County,36.3
5147,Arkansas,Woodruff County,35.8
5149,Arkansas,Yell County,37.1
6001,California,Alameda County,20
6003,California,Alpine County,23.4
6005,California,Amador County,25.5
6007,California,Butte County,25.9
6009,California,Calaveras County,23.5
6011,California,Colusa County,25.4
6013,California,Contra Costa County,25
6015,California,Del Norte County,25.5
6017,California,El Dorado County,20.6
6019,California,Fresno County,26.6
6021,California,Glenn County,26.7
6023,California,Humboldt County,25.5
6025,California,Imperial County,26.3
6027,California,Inyo County,23.3
6029,California,Kern County,30.3
6031,California,Kings County,26.4
6033,California,Lake County,26.2
6035,California,Lassen County,23.9
6037,California,Los Angeles County,21.4
6039,California,Madera County,26.5
6041,California,Marin County,18.9
6043,California,Mariposa County,24.4
6045,California,Mendocino County,22.4
6047,California,Merced County,29.5
6049,California,Modoc County,23.2
6051,California,Mono County,22.8
6053,California,Monterey County,22.3
6055,California,Napa County,23.7
6057,California,Nevada County,21.1
6059,California,Orange County,19.7
6061,California,Placer County,21.7
6063,California,Plumas County,23
6065,California,Riverside County,26
6067,California,Sacramento County,27.4
6069,California,San Benito County,23.3
6071,California,San Bernardino County,27.9
6073,California,San Diego County,19.1
6075,California,San Francisco County,16.1
6077,California,San Joaquin County,28.3
6079,California,San Luis Obispo County,24.5
6081,California,San Mateo County,21.1
6083,California,Santa Barbara County,18.2
6085,California,Santa Clara County,19.5
6087,California,Santa Cruz County,20.2
6089,California,Shasta County,26.5
6091,California,Sierra County,22.5
6093,California,Siskiyou County,23.2
6095,California,Solano County,30.1
6097,California,Sonoma County,20.9
6099,California,Stanislaus County,32.6
6101,California,Sutter County,28.7
6103,California,Tehama County,27.2
6105,California,Trinity County,25.1
6107,California,Tulare County,32.6
6109,California,Tuolumne County,20.2
6111,California,Ventura County,20.3
6113,California,Yolo County,22.7
6115,California,Yuba County,24.8
8001,Colorado,Adams County,26.3
8003,Colorado,Alamosa County,23
8005,Colorado,Arapahoe County,21.4
8007,Colorado,Archuleta County,16.5
8009,Colorado,Baca County,19.4
8011,Colorado,Bent County,26.5
8013,Colorado,Boulder County,13.4
8014,Colorado,Broomfield County,17.6
8015,Colorado,Chaffee County,20.5
8017,Colorado,Cheyenne County,23.7
8019,Colorado,Clear Creek County,18.1
8021,Colorado,Conejos County,24.5
8023,Colorado,Costilla County,21.9
8025,Colorado,Crowley County,21.6
8027,Colorado,Custer County,20.5
8029,Colorado,Delta County,20.4
8031,Colorado,Denver County,16.4
8033,Colorado,Dolores County,19.8
8035,Colorado,Douglas County,17
8037,Colorado,Eagle County,11.8
8039,Colorado,Elbert County,19.6
8041,Colorado,El Paso County,22.3
8043,Colorado,Fremont County,22.8
8045,Colorado,Garfield County,20
8047,Colorado,Gilpin County,19.7
8049,Colorado,Grand County,17.4
8051,Colorado,Gunnison County,14.8
8053,Colorado,Hinsdale County,20.5
8055,Colorado,Huerfano County,20.1
8057,Colorado,Jackson County,21.4
8059,Colorado,Jefferson County,18.3
8061,Colorado,Kiowa County,19.5
8063,Colorado,Kit Carson County,27.6
8065,Colorado,Lake County,17.5
8067,Colorado,La Plata County,16.3
8069,Colorado,Larimer County,18.7
8071,Colorado,Las Animas County,21
8073,Colorado,Lincoln County,23.8
8075,Colorado,Logan County,25.4
8077,Colorado,Mesa County,23.5
8079,Colorado,Mineral County,18.1
8081,Colorado,Moffat County,25.8
8083,Colorado,Montezuma County,21.7
8085,Colorado,Montrose County,19.7
8087,Colorado,Morgan County,26.9
8089,Colorado,Otero County,26.9
8091,Colorado,Ouray County,18.6
8093,Colorado,Park County,20.5
8095,Colorado,Phillips County,22.8
8097,Colorado,Pitkin County,14.9
8099,Colorado,Prowers County,26.1
8101,Colorado,Pueblo County,25.9
8103,Colorado,Rio Blanco County,22.6
8105,Colorado,Rio Grande County,23.2
8107,Colorado,Routt County,14.3
8109,Colorado,Saguache County,19.7
8111,Colorado,San Juan County,19.3
8113,Colorado,San Miguel County,16.7
8115,Colorado,Sedgwick County,22.1
8117,Colorado,Summit County,13.1
8119,Colorado,Teller County,20.3
8121,Colorado,Washington County,23.2
8123,Colorado,Weld County,26
8125,Colorado,Yuma County,24.8
9001,Connecticut,Fairfield County,21.4
9003,Connecticut,Hartford County,26.8
9005,Connecticut,Litchfield County,23.9
9007,Connecticut,Middlesex County,24.1
9009,Connecticut,New Haven County,26.5
9011,Connecticut,New London County,27.6
9013,Connecticut,Tolland County,24.8
9015,Connecticut,Windham County,29.6
10001,Delaware,Kent County,32.8
10003,Delaware,New Castle County,27.7
10005,Delaware,Sussex County,31
11001,District of Columbia,District of Columbia,22.4
12001,Florida,Alachua County,25.6
12003,Florida,Baker County,35.8
12005,Florida,Bay County,29.9
12007,Florida,Bradford County,35.9
12009,Florida,Brevard County,25.6
12011,Florida,Broward County,24.4
12013,Florida,Calhoun County,39.4
12015,Florida,Charlotte County,25.7
12017,Florida,Citrus County,26.3
12019,Florida,Clay County,29.7
12021,Florida,Collier County,19.5
12023,Florida,Columbia County,36.3
12027,Florida,DeSoto County,36
12029,Florida,Dixie County,30.6
12031,Florida,Duval County,30.6
12033,Florida,Escambia County,28.9
12035,Florida,Flagler County,24.2
12037,Florida,Franklin County,32.2
12039,Florida,Gadsden County,36.5
12041,Florida,Gilchrist County,31.5
12043,Florida,Glades County,33.1
12045,Florida,Gulf County,30.9
12047,Florida,Hamilton County,33.2
12049,Florida,Hardee County,33.9
12051,Florida,Hendry County,35.2
12053,Florida,Hernando County,32.1
12055,Florida,Highlands County,31
12057,Florida,Hillsborough County,28.3
12059,Florida,Holmes County,31.6
12061,Florida,Indian River County,24.5
12063,Florida,Jackson County,34.7
12065,Florida,Jefferson County,32.2
12067,Florida,Lafayette County,35.3
12069,Florida,Lake County,29.3
12071,Florida,Lee County,24.6
12073,Florida,Leon County,26.4
12075,Florida,Levy County,32.2
12077,Florida,Liberty County,39.6
12079,Florida,Madison County,34.1
12081,Florida,Manatee County,25.3
12083,Florida,Marion County,29.2
12085,Florida,Martin County,21.3
12086,Florida,Miami-Dade County,21
12087,Florida,Monroe County,22
12089,Florida,Nassau County,28.6
12091,Florida,Okaloosa County,26.4
12093,Florida,Okeechobee County,31
12095,Florida,Orange County,24.9
12097,Florida,Osceola County,29.1
12099,Florida,Palm Beach County,21.5
12101,Florida,Pasco County,31.1
12103,Florida,Pinellas County,25.5
12105,Florida,Polk County,32.3
12107,Florida,Putnam County,36.1
12109,Florida,St. Johns County,21.9
12111,Florida,St. Lucie County,27.9
12113,Florida,Santa Rosa County,26.1
12115,Florida,Sarasota County,20.6
12117,Florida,Seminole County,24.6
12119,Florida,Sumter County,26.9
12121,Florida,Suwannee County,33.3
12123,Florida,Taylor County,38.9
12125,Florida,Union County,37.1
12127,Florida,Volusia County,26
12129,Florida,Wakulla County,36.4
12131,Florida,Walton County,27.5
12133,Florida,Washington County,38.5
13001,Georgia,Appling County,34.8
13003,Georgia,Atkinson County,35.3
13005,Georgia,Bacon County,32.7
13007,Georgia,Baker County,30
13009,Georgia,Baldwin County,36.8
13011,Georgia,Banks County,27
13013,Georgia,Barrow County,34.6
13015,Georgia,Bartow County,35.2
13017,Georgia,Ben Hill County,35.3
13019,Georgia,Berrien County,34.7
13021,Georgia,Bibb County,31.3
13023,Georgia,Bleckley County,30.4
13025,Georgia,Brantley County,33.1
13027,Georgia,Brooks County,33.5
13029,Georgia,Bryan County,29.3
13031,Georgia,Bulloch County,33.5
13033,Georgia,Burke County,32
13035,Georgia,Butts County,28.7
13037,Georgia,Calhoun County,34.4
13039,Georgia,Camden County,31.5
13043,Georgia,Candler County,30.3
13045,Georgia,Carroll County,31.7
13047,Georgia,Catoosa County,27.8
13049,Georgia,Charlton County,32
13051,Georgia,Chatham County,31.3
13053,Georgia,Chattahoochee County,27.3
13055,Georgia,Chattooga County,34
13057,Georgia,Cherokee County,26.9
13059,Georgia,Clarke County,25.3
13061,Georgia,Clay County,29.8
13063,Georgia,Clayton County,38
13065,Georgia,Clinch County,29.6
13067,Georgia,Cobb County,22.9
13069,Georgia,Coffee County,34.8
13071,Georgia,Colquitt County,35.2
13073,Georgia,Columbia County,30.3
13075,Georgia,Cook County,31.4
13077,Georgia,Coweta County,26.8
13079,Georgia,Crawford County,27.3
13081,Georgia,Crisp County,31.1
13083,Georgia,Dade County,32.3
13085,Georgia,Dawson County,27.7
13087,Georgia,Decatur County,30
13089,Georgia,DeKalb County,27.3
13091,Georgia,Dodge County,28.5
13093,Georgia,Dooly County,34.7
13095,Georgia,Dougherty County,34.4
13097,Georgia,Douglas County,32.3
13099,Georgia,Early County,31.5
13101,Georgia,Echols County,28.3
13103,Georgia,Effingham County,35.2
13105,Georgia,Elbert County,31.1
13107,Georgia,Emanuel County,36.3
13109,Georgia,Evans County,33.5
13111,Georgia,Fannin County,25.9
13113,Georgia,Fayette County,31.1
13115,Georgia,Floyd County,31
13117,Georgia,Forsyth County,29.4
13119,Georgia,Franklin County,29.5
13121,Georgia,Fulton County,23.9
13123,Georgia,Gilmer County,29.7
13125,Georgia,Glascock County,28.6
13127,Georgia,Glynn County,26.2
13129,Georgia,Gordon County,29.3
13131,Georgia,Grady County,33
13133,Georgia,Greene County,29.7
13135,Georgia,Gwinnett County,29.5
13137,Georgia,Habersham County,31.7
13139,Georgia,Hall County,25.7
13141,Georgia,Hancock County,31.2
13143,Georgia,Haralson County,27.3
13145,Georgia,Harris County,28.4
13147,Georgia,Hart County,29.9
13149,Georgia,Heard County,30.2
13151,Georgia,Henry County,33.1
13153,Georgia,Houston County,31
13155,Georgia,Irwin County,29.2
13157,Georgia,Jackson County,27.4
13159,Georgia,Jasper County,29.3
13161,Georgia,Jeff Davis County,30
13163,Georgia,Jefferson County,35.3
13165,Georgia,Jenkins County,29.9
13167,Georgia,Johnson County,34
13169,Georgia,Jones County,33.5
13171,Georgia,Lamar County,30.6
13173,Georgia,Lanier County,33.2
13175,Georgia,Laurens County,36.2
13177,Georgia,Lee County,31.2
13179,Georgia,Liberty County,34.9
13181,Georgia,Lincoln County,29
13183,Georgia,Long County,31.4
13185,Georgia,Lowndes County,31.3
13187,Georgia,Lumpkin County,30.7
13189,Georgia,McDuffie County,33.4
13191,Georgia,McIntosh County,30.9
13193,Georgia,Macon County,36.4
13195,Georgia,Madison County,31.9
13197,Georgia,Marion County,32.9
13199,Georgia,Meriwether County,34.6
13201,Georgia,Miller County,30.3
13205,Georgia,Mitchell County,33.6
13207,Georgia,Monroe County,31.9
13209,Georgia,Montgomery County,36.2
13211,Georgia,Morgan County,26.5
13213,Georgia,Murray County,32.5
13215,Georgia,Muscogee County,28.8
13217,Georgia,Newton County,32.9
13219,Georgia,Oconee County,28.8
13221,Georgia,Oglethorpe County,30.1
13223,Georgia,Paulding County,28.6
13225,Georgia,Peach County,34.4
13227,Georgia,Pickens County,26.7
13229,Georgia,Pierce County,28.5
13231,Georgia,Pike County,26.2
13233,Georgia,Polk County,34.5
13235,Georgia,Pulaski County,31.7
13237,Georgia,Putnam County,30
13239,Georgia,Quitman County,34
13241,Georgia,Rabun County,29.4
13243,Georgia,Randolph County,33.7
13245,Georgia,Richmond County,34.1
13247,Georgia,Rockdale County,36
13249,Georgia,Schley County,30.4
13251,Georgia,Screven County,33
13253,Georgia,Seminole County,30.7
13255,Georgia,Spalding County,32.4
13257,Georgia,Stephens County,30.1
13259,Georgia,Stewart County,34.2
13261,Georgia,Sumter County,32.7
13263,Georgia,Talbot County,33.3
13265,Georgia,Taliaferro County,31.4
13267,Georgia,Tattnall County,33.1
13269,Georgia,Taylor County,28.8
13271,Georgia,Telfair County,30.9
13273,Georgia,Terrell County,31.6
13275,Georgia,Thomas County,34
13277,Georgia,Tift County,34
13279,Georgia,Toombs County,31.5
13281,Georgia,Towns County,27.4
13283,Georgia,Treutlen County,32.9
13285,Georgia,Troup County,30
13287,Georgia,Turner County,34.6
13289,Georgia,Twiggs County,32.8
13291,Georgia,Union County,27.2
13293,Georgia,Upson County,32
13295,Georgia,Walker County,32.1
13297,Georgia,Walton County,34.4
13299,Georgia,Ware County,35.5
13301,Georgia,Warren County,32
13303,Georgia,Washington County,32.2
13305,Georgia,Wayne County,31.8
13307,Georgia,Webster County,32.1
13309,Georgia,Wheeler County,31.9
13311,Georgia,White County,28.6
13313,Georgia,Whitfield County,33.5
13315,Georgia,Wilcox County,31.5
13317,Georgia,Wilkes County,32.9
13319,Georgia,Wilkinson County,34.5
13321,Georgia,Worth County,36.7
15001,Hawaii,Hawaii County,22.7
15003,Hawaii,Honolulu County,22.3
15005,Hawaii,Kalawao County,21.5
15007,Hawaii,Kauai County,20.6
15009,Hawaii,Maui County,22.4
16001,Idaho,Ada County,25.4
16003,Idaho,Adams County,27.6
16005,Idaho,Bannock County,28.1
16007,Idaho,Bear Lake County,28.7
16009,Idaho,Benewah County,30.1
16011,Idaho,Bingham County,33.3
16013,Idaho,Blaine County,19.2
16015,Idaho,Boise County,22.4
16017,Idaho,Bonner County,24.7
16019,Idaho,Bonneville County,29.4
16021,Idaho,Boundary County,27.3
16023,Idaho,Butte County,28.5
16025,Idaho,Camas County,25.7
16027,Idaho,Canyon County,33.4
16029,Idaho,Caribou County,27.5
16031,Idaho,Cassia County,30.5
16033,Idaho,Clark County,31.4
16035,Idaho,Clearwater County,30.6
16037,Idaho,Custer County,26.3
16039,Idaho,Elmore County,29.8
16041,Idaho,Franklin County,30.7
16043,Idaho,Fremont County,28.9
16045,Idaho,Gem County,28.5
16047,Idaho,Gooding County,30
16049,Idaho,Idaho County,25.7
16051,Idaho,Jefferson County,32.7
16053,Idaho,Jerome County,33.3
16055,Idaho,Kootenai County,25
16057,Idaho,Latah County,24.3
16059,Idaho,Lemhi County,26.8
16061,Idaho,Lewis County,29.7
16063,Idaho,Lincoln County,32.3
16065,Idaho,Madison County,24.5
16067,Idaho,Minidoka County,34.2
16069,Idaho,Nez Perce County,30.9
16071,Idaho,Oneida County,31.3
16073,Idaho,Owyhee County,30.4
16075,Idaho,Payette County,33.3
16077,Idaho,Power County,32.1
16079,Idaho,Shoshone County,31.1
16081,Idaho,Teton County,24.1
16083,Idaho,Twin Falls County,27.6
16085,Idaho,Valley County,24.1
16087,Idaho,Washington County,30.3
17001,Illinois,Adams County,37
17003,Illinois,Alexander County,28.4
17005,Illinois,Bond County,29.6
17007,Illinois,Boone County,33.7
17009,Illinois,Brown County,27.6
17011,Illinois,Bureau County,29.1
17013,Illinois,Calhoun County,29.1
17015,Illinois,Carroll County,28.6
17017,Illinois,Cass County,28
17019,Illinois,Champaign County,25.1
17021,Illinois,Christian County,31.7
17023,Illinois,Clark County,32.7
17025,Illinois,Clay County,31
17027,Illinois,Clinton County,29.5
17029,Illinois,Coles County,26.3
17031,Illinois,Cook County,25.3
17033,Illinois,Crawford County,31.3
17035,Illinois,Cumberland County,27.8
17037,Illinois,DeKalb County,28.3
17039,Illinois,De Witt County,30.5
17041,Illinois,Douglas County,30.5
17043,Illinois,DuPage County,23
17045,Illinois,Edgar County,30.3
17047,Illinois,Edwards County,31.3
17049,Illinois,Effingham County,31.8
17051,Illinois,Fayette County,33
17053,Illinois,Ford County,28.2
17055,Illinois,Franklin County,30.2
17057,Illinois,Fulton County,30.7
17059,Illinois,Gallatin County,28.4
17061,Illinois,Greene County,28.7
17063,Illinois,Grundy County,30.4
17065,Illinois,Hamilton County,28.2
17067,Illinois,Hancock County,28.6
17069,Illinois,Hardin County,30.6
17071,Illinois,Henderson County,30.4
17073,Illinois,Henry County,30.5
17075,Illinois,Iroquois County,33.9
17077,Illinois,Jackson County,31.5
17079,Illinois,Jasper County,30.2
17081,Illinois,Jefferson County,30.2
17083,Illinois,Jersey County,33
17085,Illinois,Jo Daviess County,29.5
17087,Illinois,Johnson County,29.4
17089,Illinois,Kane County,25.3
17091,Illinois,Kankakee County,30.1
17093,Illinois,Kendall County,33.7
17095,Illinois,Knox County,26.2
17097,Illinois,Lake County,28.4
17099,Illinois,LaSalle County,27.1
17101,Illinois,Lawrence County,28.9
17103,Illinois,Lee County,32.6
17105,Illinois,Livingston County,29.2
17107,Illinois,Logan County,29.2
17109,Illinois,McDonough County,26.8
17111,Illinois,McHenry County,27.7
17113,Illinois,McLean County,29.3
17115,Illinois,Macon County,29.7
17117,Illinois,Macoupin County,31
17119,Illinois,Madison County,32.3
17121,Illinois,Marion County,33.5
17123,Illinois,Marshall County,29.1
17125,Illinois,Mason County,31.7
17127,Illinois,Massac County,30.7
17129,Illinois,Menard County,28.3
17131,Illinois,Mercer County,31.2
17133,Illinois,Monroe County,33.2
17135,Illinois,Montgomery County,31.3
17137,Illinois,Morgan County,28.8
17139,Illinois,Moultrie County,28.6
17141,Illinois,Ogle County,31.2
17143,Illinois,Peoria County,28.8
17145,Illinois,Perry County,29.1
17147,Illinois,Piatt County,29
17149,Illinois,Pike County,32.6
17151,Illinois,Pope County,29.5
17153,Illinois,Pulaski County,27.3
17155,Illinois,Putnam County,29.9
17157,Illinois,Randolph County,27.7
17159,Illinois,Richland County,28.8
17161,Illinois,Rock Island County,31.7
17163,Illinois,St. Clair County,33.2
17165,Illinois,Saline County,30.1
17167,Illinois,Sangamon County,28.5
17169,Illinois,Schuyler County,31.7
17171,Illinois,Scott County,30.4
17173,Illinois,Shelby County,30.6
17175,Illinois,Stark County,30.2
17177,Illinois,Stephenson County,32.9
17179,Illinois,Tazewell County,30.6
17181,Illinois,Union County,28.2
17183,Illinois,Vermilion County,35.4
17185,Illinois,Wabash County,32.2
17187,Illinois,Warren County,30.5
17189,Illinois,Washington County,28.6
17191,Illinois,Wayne County,29.2
17193,Illinois,White County,28.7
17195,Illinois,Whiteside County,28.7
17197,Illinois,Will County,28
17199,Illinois,Williamson County,31.6
17201,Illinois,Winnebago County,33.9
17203,Illinois,Woodford County,30.8
18001,Indiana,Adams County,32.8
18003,Indiana,Allen County,30.1
18005,Indiana,Bartholomew County,29.5
18007,Indiana,Benton County,32.6
18009,Indiana,Blackford County,36
18011,Indiana,Boone County,27.8
18013,Indiana,Brown County,30.6
18015,Indiana,Carroll County,26.9
18017,Indiana,Cass County,33.7
18019,Indiana,Clark County,33.3
18021,Indiana,Clay County,33.1
18023,Indiana,Clinton County,30.9
18025,Indiana,Crawford County,33
18027,Indiana,Daviess County,37.6
18029,Indiana,Dearborn County,32.5
18031,Indiana,Decatur County,32.7
18033,Indiana,DeKalb County,32.8
18035,Indiana,Delaware County,31.5
18037,Indiana,Dubois County,29.5
18039,Indiana,Elkhart County,32.8
18041,Indiana,Fayette County,33
18043,Indiana,Floyd County,30.1
18045,Indiana,Fountain County,29.8
18047,Indiana,Franklin County,26.2
18049,Indiana,Fulton County,37.8
18051,Indiana,Gibson County,32.1
18053,Indiana,Grant County,37.3
18055,Indiana,Greene County,33.1
18057,Indiana,Hamilton County,25.9
18059,Indiana,Hancock County,34.8
18061,Indiana,Harrison County,36
18063,Indiana,Hendricks County,31.8
18065,Indiana,Henry County,36.7
18067,Indiana,Howard County,31.4
18069,Indiana,Huntington County,32.6
18071,Indiana,Jackson County,36.9
18073,Indiana,Jasper County,29.6
18075,Indiana,Jay County,34
18077,Indiana,Jefferson County,35
18079,Indiana,Jennings County,33
18081,Indiana,Johnson County,30.2
18083,Indiana,Knox County,32.3
18085,Indiana,Kosciusko County,33.2
18087,Indiana,LaGrange County,34.2
18089,Indiana,Lake County,33.9
18091,Indiana,LaPorte County,35
18093,Indiana,Lawrence County,38.2
18095,Indiana,Madison County,33.4
18097,Indiana,Marion County,32.4
18099,Indiana,Marshall County,30.8
18101,Indiana,Martin County,35.8
18103,Indiana,Miami County,35.7
18105,Indiana,Monroe County,22.1
18107,Indiana,Montgomery County,32.7
18109,Indiana,Morgan County,33.2
18111,Indiana,Newton County,35.3
18113,Indiana,Noble County,31.8
18115,Indiana,Ohio County,30.4
18117,Indiana,Orange County,35.4
18119,Indiana,Owen County,34
18121,Indiana,Parke County,33.6
18123,Indiana,Perry County,32.8
18125,Indiana,Pike County,36.4
18127,Indiana,Porter County,31.9
18129,Indiana,Posey County,29.1
18131,Indiana,Pulaski County,31.5
18133,Indiana,Putnam County,31.5
18135,Indiana,Randolph County,35.6
18137,Indiana,Ripley County,32.7
18139,Indiana,Rush County,32.6
18141,Indiana,St. Joseph County,30
18143,Indiana,Scott County,29.5
18145,Indiana,Shelby County,33.1
18147,Indiana,Spencer County,30.5
18149,Indiana,Starke County,36.1
18151,Indiana,Steuben County,33.7
18153,Indiana,Sullivan County,32.9
18155,Indiana,Switzerland County,32
18157,Indiana,Tippecanoe County,26.4
18159,Indiana,Tipton County,31.1
