FIPS,State,County,Obesity_Percent
1001,Alabama,Autauga County,34.1
1003,Alabama,Baldwin County,27.4
1005,Alabama,Barbour County,44.4
1007,Alabama,Bibb County,40.3
1009,Alabama,Blount County,34.6
1011,Alabama,Bullock County,43
1013,Alabama,Butler County,36.3
1015,Alabama,Calhoun County,32.2
1017,Alabama,Chambers County,39.7
1019,Alabama,Cherokee County,33.6
1021,Alabama,Chilton County,35.9
1023,Alabama,Choctaw County,40.8
1025,Alabama,Clarke County,38.2
1027,Alabama,Clay County,37.3
1029,Alabama,Cleburne County,30
1031,Alabama,Coffee County,33.7
1033,Alabama,Colbert County,37.5
1035,Alabama,Conecuh County,36.4
1037,Alabama,Coosa County,39.7
1039,Alabama,Covington County,34
1041,Alabama,Crenshaw County,39.7
1043,Alabama,Cullman County,33.4
1045,Alabama,Dale County,36.5
1047,Alabama,Dallas County,40.8
1049,Alabama,DeKalb County,30.4
1051,Alabama,Elmore County,35.4
1053,Alabama,Escambia County,37.7
1055,Alabama,Etowah County,35.1
1057,Alabama,Fayette County,33.7
1059,Alabama,Franklin County,33.2
1061,Alabama,Geneva County,34.1
1063,Alabama,Greene County,46.3
1065,Alabama,Hale County,40.4
1067,Alabama,Henry County,35.8
1069,Alabama,Houston County,32.8
1071,Alabama,Jackson County,32
1073,Alabama,Jefferson County,33.2
1075,Alabama,Lamar County,33.6
1077,Alabama,Lauderdale County,32.9
1079,Alabama,Lawrence County,35.5
1081,Alabama,Lee County,29
1083,Alabama,Limestone County,32.9
1085,Alabama,Lowndes County,45.1
1087,Alabama,Macon County,44.7
1089,Alabama,Madison County,32.3
1091,Alabama,Marengo County,40.3
1093,Alabama,Marion County,35.5
1095,Alabama,Marshall County,33.2
1097,Alabama,Mobile County,37.1
1099,Alabama,Monroe County,35.3
1101,Alabama,Montgomery County,34.8
1103,Alabama,Morgan County,31.6
1105,Alabama,Perry County,43
1107,Alabama,Pickens County,36.4
1109,Alabama,Pike County,38.4
1111,Alabama,Randolph County,30.9
1113,Alabama,Russell County,36.4
1115,Alabama,St. Clair County,33
1117,Alabama,Shelby County,30.1
1119,Alabama,Sumter County,40.3
1121,Alabama,Talladega County,39
1123,Alabama,Tallapoosa County,36.9
1125,Alabama,Tuscaloosa County,34.3
1127,Alabama,Walker County,33.2
1129,Alabama,Washington County,40.2
1131,Alabama,Wilcox County,44.9
1133,Alabama,Winston County,30.2
2013,Alaska,Aleutians East Borough,33.4
2016,Alaska,Aleutians West,39.4
2020,Alaska,Anchorage Municipality,27
2050,Alaska,Bethel Census Area,30.3
2060,Alaska,Bristol Bay Borough,39.7
2068,Alaska,Denali Borough,27
2070,Alaska,Dillingham Census Area,38
2090,Alaska,Fairbanks North Star,28.1
2100,Alaska,Haines Borough,25.5
