FIPS,Gyms
20197,16
20209,1
21003,1
21009,5
21013,1
21015,2
21019,1
21021,3
21027,14
21029,1
21035,1
21037,5
21043,1
21045,10
21047,1
21049,1
21053,8
21059,1
21067,1
21069,3
21073,1
21081,1
21083,9
21085,40
21089,1
21093,5
21095,1
21097,2
21101,1
21107,1
21111,13
21113,1
21115,1
21117,6
21121,1
21123,71
21125,9
21137,1
21145,23
21147,2
21151,1
21157,1
21159,1
21161,7
21163,1
21167,9
21173,3
21175,1
21179,1
21183,3
21185,2
21191,4
21195,1
21197,6
21199,1
21205,3
21207,1
21209,4
21211,2
21213,2
21217,2
21221,1
21225,2
21227,3
21229,1
21231,5
21233,1
21235,1
21237,1
22001,6
22003,1
22005,14
22007,1
22009,2
22011,2
22015,3
22017,29
22019,14
22021,1
22029,1
22031,2
22033,3
22037,61
22041,1
22045,1
22047,3
22049,1
22051,5
22053,51
22055,4
22057,34
22059,12
22063,1
22067,8
22069,1
22071,3
22073,37
22075,11
22077,5
22079,9
22083,2
22087,3
22089,9
22093,2
22095,2
22097,6
22099,1
22101,3
22103,27
22105,8
22109,11
22111,1
22113,6
22115,1
22117,2
22121,4
22123,1
22915,7
23001,11
23003,4
23005,46
23009,6
23011,11
23013,6
23015,4
23017,3
23019,11
23021,3
23023,5
23025,1
23027,2
23029,2
23031,18
24001,9
24003,66
24005,96
24009,7
24011,1
24013,23
24015,5
24017,9
24019,3
24021,19
24023,2
24025,22
24027,23
24029,3
24031,146
24033,56
24035,4
24037,7
24039,2
24041,6
24043,16
24045,6
24047,9
24510,50
25001,42
25003,16
25005,73
25007,8
25009,114
25011,9
25013,40
25015,18
25017,226
25019,3
25021,99
25023,84
25025,114
25027,101
26005,3
26007,3
26009,4
26011,8
26015,1
26017,14
26019,4
26021,9
26023,1
26025,4
26027,2
26029,2
26033,4
26035,1
26037,8
26039,3
26041,9
26043,7
26045,24
26047,1
26049,2
26051,3
26053,5
26055,3
26059,2
26061,24
26063,4
26065,2
26067,1
26069,5
26071,13
26073,23
26075,47
26077,4
26081,3
26085,10
26087,23
26089,28
26091,10
26093,2
26099,1
26103,5
26105,10
26107,1
26109,10
26111,6
26113,9
26115,1
26117,87
26121,1
26123,1
26125,1
26127,1
26129,3
26135,30
26137,2
26139,3
26141,10
26143,15
26145,5
26147,1
26149,6
26151,4
26155,2
26157,42
26159,96
26161,7
26163,28
26165,3
27003,5
27005,5
27007,9
27009,7
27013,6
27015,16
27017,1
27019,3
27023,3
27025,1
27027,1
27029,10
27033,44
27035,2
27037,5
27039,2
27041,1
27043,4
27047,160
27049,1
27053,3
27055,4
27057,2
27059,1
27061,3
27063,3
27065,2
27067,1
27071,6
27077,3
27079,5
27083,4
27085,3
27091,3
27093,2
27095,3
27097,1
27099,1
27103,13
27105,4
27109,1
27111,3
27115,2
27117,45
27119,3
27121,7
27123,2
27127,2
27131,17
27133,13
27135,16
27137,3
27139,19
27141,4
27143,1
27145,3
27147,2
27149,2
27153,3
27157,31
27159,2
27161,6
27163,13
27165,3
27169,2
27171,3
28001,6
28003,1
28007,1
28011,1
28021,12
28027,10
28029,2
28033,1
28035,3
28039,2
28041,13
