FIPS,Gyms
1001,2
1003,20
1005,1
1009,1
1013,1
1015,7
1019,1
1021,2
1025,2
1031,4
1033,5
1039,2
1043,1
1045,1
1047,1
1049,1
1051,4
1053,2
1055,4
1059,1
1067,1
1069,8
1073,62
1077,8
1079,3
1081,5
1083,3
1085,1
1089,43
1091,2
1093,1
1095,6
1097,27
1101,18
1103,6
1107,2
1109,3
1113,2
1115,1
1117,25
1119,1
1123,1
1125,12
1127,4
2020,36
2090,8
2110,7
2122,10
2130,4
2170,3
2185,1
2220,1
2261,2
4003,9
4005,12
4007,4
4009,2
4013,220
4015,8
4017,2
4019,93
4025,15
4027,6
5005,4
5007,16
5009,1
5011,1
5015,1
5019,2
5021,1
5023,1
5027,4
5031,8
5033,4
5035,2
5037,2
5045,6
5047,1
5049,1
5051,6
5055,4
5057,1
5059,1
5061,1
5063,2
5069,1
5071,1
5079,1
5083,1
5085,3
5093,2
5103,2
5107,2
5113,1
5115,3
5119,38
5121,2
5125,8
5131,11
5133,1
5139,2
5141,3
5143,18
5145,7
5147,1
6001,124
6005,5
6007,18
6009,5
6011,2
6013,121
6015,1
6017,10
6019,32
6021,1
6023,13
6025,8
6027,2
6029,39
6031,8
6033,3
6035,4
6037,727
6039,8
6041,61
6043,2
6045,16
6047,15
6051,1
6053,21
6055,16
6057,14
6059,213
6061,37
6063,2
6065,64
6067,110
6069,5
6071,101
6073,269
6075,103
6077,26
6079,32
6081,96
6083,42
6085,208
6087,37
6089,13
6093,3
6095,38
6097,54
6099,33
6101,9
6105,2
6107,11
6109,4
6111,75
6113,14
8001,16
8003,3
8005,57
8007,1
8013,55
8015,5
8029,1
8031,71
8035,22
8037,9
8041,55
8043,5
8045,3
8049,2
8051,5
8059,54
8063,2
8067,4
8069,36
8071,5
8075,2
8077,7
8081,1
8083,1
8085,7
8087,3
8095,1
8097,8
8099,1
8101,11
8105,2
8107,4
8113,2
8117,3
8119,2
8123,22
9001,162
9003,104
9005,20
9007,21
9009,80
9011,27
9013,16
9015,14
10001,9
10003,83
10005,28
11001,74
12001,26
12003,2
12005,16
12009,39
12011,158
12015,8
12019,14
12023,3
12025,217
12031,65
12033,17
12037,1
12045,1
12049,1
12051,2
12053,10
12055,5
12057,122
12061,15
12069,13
12071,27
12073,26
12075,1
12079,1
12081,22
12085,20
12087,17
12089,7
12091,18
12093,1
12095,68
12099,160
12101,21
12103,62
12105,31
12109,8
12111,19
12113,11
12115,51
12117,32
12119,3
12121,1
12123,1
12127,18
12129,4
12131,1
13001,1
13009,6
13013,3
13015,8
13017,1
13019,1
13021,10
13025,1
13029,3
13031,3
13035,2
13039,4
13045,9
13047,5
13049,2
13051,20
13055,1
13057,16
13059,16
13063,1
13067,65
13069,5
13071,1
13073,4
13077,8
13081,1
13083,1
13085,3
13089,66
13091,2
13095,7
13097,6
13111,1
13113,8
13115,3
13119,1
13121,120
13127,6
13129,3
13135,16
13137,2
13139,8
13143,1
13145,2
13151,12
13153,11
13155,1
13157,7
13159,1
13169,2
13175,2
13179,1
13185,5
13187,1
13207,3
13211,2
13215,15
13219,6
13221,1
13223,7
13225,1
13227,2
13229,1
13231,1
13233,3
13237,3
13245,19
13255,7
13257,3
13261,1
13275,5
13277,5
13279,1
13281,1
13285,6
13291,1
13295,4
13297,1
13299,3
13305,2
13311,2
13313,6
13321,2
15001,7
15003,55
15007,7
15009,14
16001,41
16005,6
16011,3
16013,10
16015,1
16017,4
16019,4
16021,1
16027,8
16031,2
16037,1
16039,2
16045,3
16047,1
16049,2
16055,17
16057,2
16059,1
16065,3
16069,6
16075,1
16079,1
16081,1
16083,10
16085,3
16087,1
17001,8
17005,2
17007,3
17009,1
17011,3
17017,2
17019,22
17021,5
17023,2
17025,1
17027,1
17029,7
17031,419
17037,10
17039,2
17041,3
17043,113
17045,4
17049,4
17051,2
17053,2
17055,4
17057,3
17063,10
17073,2
17075,2
17077,5
17079,1
17081,7
17083,2
17085,1
17087,1
17089,39
17091,12
17093,9
17095,3
17097,124
17099,12
17103,3
17105,4
17107,2
17109,3
17111,36
17113,22
17115,7
17117,4
17119,36
17121,6
17123,1
17127,1
17129,2
17131,2
17133,5
17135,4
17137,4
17141,5
17143,13
17145,1
17147,2
17149,1
17155,2
17157,3
17159,3
17161,12
17163,26
17167,22
17177,10
17179,16
17183,8
17185,3
17187,1
17189,1
17191,2
17195,3
17197,32
17199,10
17201,21
17203,3
18001,3
18003,50
18005,8
18007,1
18009,1
18011,9
18013,1
18015,2
18017,3
18019,8
18027,2
18029,7
18031,2
18033,7
18035,13
18037,6
18039,12
18041,2
18043,6
18047,7
18049,1
18051,2
18053,4
18055,1
18057,35
18059,4
18061,1
18063,9
18065,4
18067,8
18069,3
18071,4
18073,4
18075,1
18077,3
18079,1
18081,7
18083,3
18085,5
18087,1
18089,30
18091,8
18093,6
18095,9
18097,93
18099,2
18101,1
18103,2
18105,8
18107,1
18109,3
18111,1
18113,2
18115,1
18119,1
18121,1
18123,2
18125,1
18127,10
18129,3
18131,1
18135,3
18139,2
18141,26
18143,1
18145,2
18149,1
18151,5
18157,12
18163,17
18165,1
18167,9
18169,2
18173,7
18175,1
18177,6
18179,1
18183,3
19001,1
19005,1
19007,2
19011,3
19013,16
19015,2
19017,2
19021,1
19025,1
19027,1
19029,2
19031,3
19033,8
19037,1
19041,3
19045,6
19047,2
19049,5
19051,1
19055,3
19057,2
19059,6
19061,7
19063,3
19065,3
19067,2
19069,1
19077,1
19081,1
19087,3
19089,1
19091,1
19093,1
19095,1
19097,1
19099,3
19101,3
19103,13
19109,1
19111,5
19113,26
19117,1
19119,1
19121,2
19123,4
19125,4
19129,2
19131,1
19133,1
19137,1
19139,4
19141,3
19145,1
19149,2
19153,61
19155,8
19157,2
19161,1
19163,23
19167,3
19169,12
19171,2
19173,1
19175,2
19179,2
19181,6
19183,4
19185,2
19187,8
19189,1
19191,4
19193,9
20005,3
20007,1
20009,4
20015,2
20019,1
20021,1
20029,1
20035,1
20037,2
20041,1
20043,2
20045,3
20051,1
20055,4
20057,4
20059,1
20061,1
20063,1
20069,1
20071,1
20079,2
20091,78
20099,1
20103,5
20109,1
20111,1
20113,3
20117,1
20119,1
20121,2
20123,1
20125,4
20127,1
20133,1
20147,1
20151,2
20155,4
20157,1
20161,1
20169,6
20171,2
20173,37
20177,14
20181,1
20193,2
20197,1
20209,6
21003,1
21009,2
21013,2
21015,12
21019,1
21021,3
21027,1
21029,10
21035,2
21037,13
21043,1
21045,1
21047,3
21049,1
21053,1
21059,9
21067,34
21069,1
21073,4
21081,1
21083,2
21085,1
21089,1
21093,11
21095,1
21097,1
21101,6
21107,3
21111,68
21113,9
21115,2
21117,22
21121,1
21123,1
21125,1
21137,1
21145,8
21147,1
21151,10
21157,3
21159,1
21161,2
21163,2
21167,2
21173,4
21175,1
21179,6
21183,1
21185,2
21191,1
21195,1
21197,1
21199,4
21205,2
21207,2
21209,2
21211,2
21213,2
21217,3
21221,1
21225,1
21227,4
21229,1
21231,1
21233,1
21235,1
21237,1
22001,6
22003,1
22005,16
22007,1
22009,2
22011,3
22015,3
22017,30
22019,12
22021,1
22029,3
22031,3
22033,64
22037,1
22041,3
22045,3
22047,1
22049,5
22051,46
22053,4
22055,32
22057,12
22059,1
22063,9
22067,1
22069,4
22071,32
22073,12
22075,6
22077,1
22079,10
22083,1
22087,3
22089,9
22093,2
22095,5
22097,6
22099,1
22101,4
22103,26
22105,9
22109,9
22111,2
22113,5
22115,3
22117,1
22121,3
22123,1
22915,7
23001,12
23003,3
23005,47
23009,6
23011,12
23013,6
23015,4
23017,4
23019,10
23021,3
23023,6
23025,2
23027,3
23029,2
23031,19
24001,9
24003,61
24005,88
24009,8
24011,1
24013,26
24015,4
24017,10
24019,3
24021,19
24023,4
24025,23
24027,21
24029,3
24031,133
24033,56
24035,3
24037,7
24039,2
24041,8
24043,14
24045,6
24047,9
24510,45
25001,49
25003,17
25005,71
25007,9
25009,106
25011,9
25013,41
25015,15
25017,223
25019,3
25021,94
25023,78
25025,107
25027,94
26005,4
26007,3
26009,1
26011,1
26015,5
26017,8
26019,1
26021,15
26023,3
26025,11
26027,3
26029,5
26033,3
26035,2
26037,3
26039,1
26041,7
26043,5
26045,8
26047,5
26049,25
26051,2
26053,2
26055,3
26059,5
26061,4
26063,3
26065,25
26067,4
26069,2
26071,2
26073,5
26075,14
26077,23
26081,46
26085,1
26087,3
26089,3
26091,8
26093,19
26099,31
26103,10
26105,3
26107,2
26109,5
26111,9
26113,1
26115,11
26117,6
26121,9
26123,2
26125,89
26127,1
26129,1
26135,1
26137,3
26139,30
26141,3
26143,3
26145,11
26147,16
26149,4
26151,1
26155,7
26157,4
26159,2
26161,38
26163,94
26165,7
27003,29
27005,3
27007,5
27009,5
27013,6
27015,7
27017,5
27019,15
27023,1
27025,4
27027,6
27029,1
27033,1
27035,11
27037,42
27039,1
27041,5
27043,2
27047,1
27049,5
27053,151
27055,2
27057,2
27059,4
27061,3
27063,2
27065,2
27067,4
27071,3
27077,1
27079,6
27083,3
27085,5
27091,4
27093,3
27095,4
27097,4
27099,6
27103,1
27105,3
27109,11
27111,5
27115,1
27117,1
27119,2
27121,2
27123,51
27127,2
27131,9
27133,2
27135,2
27137,18
27139,12
27141,17
27143,2
27145,20
27147,4
27149,1
27153,3
27157,3
27159,2
27161,3
27163,30
27165,1
27169,6
27171,13
28001,3
28003,3
28007,3
28011,4
